20150611,6982
20150530,274
20150817,10964
20150906,1899
20150821,8866
20150904,10204
20150815,5120
20150917,14370
20150617,10237
20150829,565
20150819,11195
20150625,9696
20150524,2744
20150701,9517
20150624,10388
20150608,7549
20150708,10010
20150719,1164
20150804,10603
20150830,3721
20150522,1745
20150826,13756
20150725,599
20150811,18730
20150620,874
20150531,403
20150709,7085
20150626,11046
20150812,14948
20150602,12326
20150529,8416
20150613,3175
20150712,4124
20150824,14747
20150909,13428
20150908,16958
20150621,244
20150828,5741
20150619,11462
20150612,5172
20150605,3031
20150628,1116
20150910,19234
20150610,2300
20150721,9565
20150525,5652
20150706,8406
20150818,12570
20150716,10956
20150609,4291
20150601,3905
20150718,1766
20150831,9207
20150724,12780
20150915,13205
20150905,215
20150604,3758
20150630,9700
20150901,12255
20150715,11820
20150813,19083
20150913,2124
20150717,10677
20150820,13646
20150814,11546
20150623,9240
20150704,373
20150729,9500
20150705,604
20150731,10900
20150707,5524
20150730,11644
20150713,10315
20150526,9742
20150723,13341
20150823,3644
20150629,6789
20150825,10373
20150616,10108
20150907,12599
20150720,3696
20150806,13197
20150802,1272
20150622,6164
20150618,17067
20150523,0
20150527,8833
20150918,8120
20150805,11635
20150810,14242
20150916,13720
20150803,7473
20150615,2278
20150827,12180
20150703,3745
20150822,1624
20150816,3452
20150614,127
20150603,10078
20150809,2835
20150903,12703
20150801,1253
20150914,11247
20150807,12467
20150911,9998
20150627,448
20150710,7136
20150607,1166
20150726,3647
20150702,9688
20150714,9531
20150912,2026
20150722,16205
20150902,14653
20150808,410
20150728,16968
20150528,8522
20150727,14344
