ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
10,001;1201448;0;955;4
10,002;1201450;0;8,306;3
10,003;1201494;0;598;10
10,004;1201495;1;0;1
10,005;1201498;0;8;3
10,006;1201527;0;456;1
10,007;1201533;0;22;2
10,008;1201541;0;0;1
10,009;1201551;1;0;1
10,010;1201563;0;275;2
10,011;1201615;0;0;1
10,012;1201619;0;0;1
10,013;1201711;0;4;3
10,014;1201756;0;79;3
10,015;1201792;0;371;7
10,016;1201808;0;23;7
10,017;1201814;0;1;2
10,018;1201818;0;10;2
10,019;1201820;0;442;2
10,020;1201836;0;183;2
10,021;1201845;0;149;4
10,022;1201859;0;7;2
10,023;1201876;0;51;4
10,024;1201886;0;396;1
10,025;1201888;0;132;2
10,026;1201894;0;4;2
10,027;1201904;0;27;3
10,028;1201907;0;30;2
10,029;1201913;0;4;2
10,030;1201924;0;17;3
10,031;1201934;0;68;6
10,032;1201936;0;2;6
10,033;1201938;0;51;2
10,034;1201939;0;13;2
10,035;1201956;0;10;4
10,036;1201976;0;65;3
10,037;1201978;0;43;6
10,038;1201983;0;26;3
10,039;1201989;0;3;5
10,040;1201992;0;45;6
10,041;1201996;0;22;4
10,042;1201999;0;18;3
10,043;1202011;0;18;3
10,044;1202014;0;11;3
10,045;1202029;0;3;4
10,046;1202034;0;16;2
10,047;1202038;0;2;4
10,048;1202049;0;30;6
10,049;1202059;0;49;3
10,050;1202064;0;319;6
10,051;1202067;0;0;5
10,052;1202076;0;4;3
10,053;1202080;0;17;3
10,054;1202081;0;4;2
10,055;1202082;0;284;8
10,056;1202083;0;18;2
10,057;1202086;0;8;4
10,058;1202092;1;28;1
10,059;1202098;1;12;1
10,060;1202100;0;32;5
10,061;1202101;0;5;2
10,062;1202104;0;3;2
10,063;1202106;0;120;1
10,064;1202110;0;0;3
10,065;1202111;0;77;5
10,066;1202113;1;31;1
10,067;1202116;0;11;2
10,068;1202142;0;0;2
10,069;1202144;0;40;6
10,070;1202145;0;4;4
10,071;1202158;0;25;3
10,072;1202164;0;92;3
10,073;1202193;0;2;3
10,074;1202248;0;10;4
10,075;1202252;0;3;2
10,076;1202264;1;501;2
10,077;1202268;1;20;5
10,078;1202284;0;13;3
10,079;1202306;1;6;1
10,080;1202314;0;2;3
10,081;1202320;0;37;9
10,082;1202321;0;56;3
10,083;1202330;0;75;4
10,084;1202338;0;3;2
10,085;1202355;0;156;6
10,086;1202368;0;2;2
10,087;1202388;1;10;1
10,088;1202429;0;0;1
10,089;1202432;0;9;4
10,090;1202438;0;16;4
10,091;1202444;0;685;4
10,092;1202454;0;0;1
10,093;1202466;1;11;1
10,094;1202468;0;4;3
10,095;1202487;1;2;1
10,096;1202494;0;4;2
10,097;1202529;0;10;4
10,098;1202544;0;20;2
10,099;1202552;0;9;3
10,100;1202570;0;11;6
10,101;1202574;0;4;2
10,102;1202587;0;2;1
10,103;1202588;0;13;3
10,104;1202591;0;380;5
10,105;1202597;0;13;3
10,106;1202606;0;38;3
10,107;1202611;0;9;3
10,108;1202614;0;4;1
10,109;1202622;0;5;2
10,110;1202623;1;24;1
10,111;1202624;0;28;3
10,112;1202625;0;4;3
10,113;1202632;1;5;1
10,114;1202642;0;142;10
10,115;1202651;0;25;5
10,116;1202654;0;60;2
10,117;1202656;0;2;3
10,118;1202659;0;0;1
10,119;1202663;0;17;4
10,120;1202674;0;30;2
10,121;1202678;0;11;2
10,122;1202682;0;30;2
10,123;1202684;0;4;3
10,124;1202686;0;5,027;3
10,125;1202699;0;19;3
10,126;1202701;0;0;1
10,127;1202708;0;0;1
10,128;1202710;0;21;3
10,129;1202718;0;52;3
10,130;1202723;0;126;12
10,131;1202727;0;445;7
10,132;1202733;0;7;2
10,133;1202738;0;5;2
10,134;1202775;0;6;3
10,135;1202797;0;7;6
10,136;1202798;0;4;2
10,137;1202800;0;4;2
10,138;1202817;0;4;2
10,139;1202824;0;0;1
10,140;1202839;0;21;4
10,141;1202864;0;0;1
10,142;1202868;0;0;1
10,143;1202881;0;3;2
10,144;1202898;0;0;2
10,145;1202901;0;0;3
10,146;1202905;0;0;1
10,147;1202906;0;9;3
10,148;1202910;0;71;8
10,149;1202928;0;6;2
10,150;1202936;0;44;5
10,151;1202945;0;27;4
10,152;1202947;0;89;1
10,153;1202956;0;21;2
10,154;1202962;1;11;1
10,155;1202964;0;25;3
10,156;1202966;1;0;1
10,157;1202967;0;12;6
10,158;1202971;0;79;2
10,159;1202977;0;15;2
10,160;1202991;0;16;2
10,161;1203014;1;0;6
10,162;1203022;0;5;2
10,163;1203046;0;5;2
10,164;1203070;0;4;5
10,165;1203071;0;47;12
10,166;1203089;0;19;5
10,167;1203094;0;383;5
10,168;1203124;0;7;1
10,169;1203126;1;797;4
10,170;1203130;0;133;7
10,171;1203149;0;16;3
10,172;1203227;0;54;4
10,173;1203254;0;78;1
10,174;1203256;1;86;5
10,175;1203258;0;2;2
10,176;1203263;0;6;2
10,177;1203285;0;4;3
10,178;1203360;0;35;1
10,179;1203363;0;4;2
10,180;1203372;0;0;1
10,181;1203387;0;3;3
10,182;1203391;0;0;1
10,183;1203417;0;395;12
10,184;1203440;0;190;2
10,185;1203443;0;2;1
10,186;1203483;0;126;2
10,187;1203509;0;2;3
10,188;1203513;0;16;1
10,189;1203526;0;1;2
10,190;1203553;0;46;3
10,191;1203584;1;7;1
10,192;1203619;0;82;4
10,193;1203676;0;22;3
10,194;1203681;0;20;6
10,195;1203687;0;39;2
10,196;1203695;1;29;1
10,197;1203720;0;0;1
10,198;1203721;0;4;1
10,199;1203723;0;0;1
10,200;1203736;0;595;2
10,201;1203757;0;17;5
10,202;1203758;0;128;3
10,203;1203800;0;0;1
10,204;1203810;1;14;2
10,205;1203812;0;52;1
10,206;1203840;0;0;1
10,207;1203844;1;98;3
10,208;1203848;1;0;1
10,209;1203857;0;92;1
10,210;1203891;1;660;2
10,211;1203894;0;0;1
10,212;1203896;0;10;2
10,213;1203898;0;3;4
10,214;1203907;0;6;2
10,215;1203909;0;6;1
10,216;1203919;0;21;2
10,217;1203943;0;42;7
10,218;1203955;0;4;2
10,219;1203971;0;22;6
10,220;1203981;0;4;1
10,221;1203991;0;28;2
10,222;1204001;1;0;1
10,223;1204013;0;81;2
10,224;1204118;0;123;1
10,225;1204158;1;0;1
10,226;1204166;0;195;3
10,227;1204190;0;371;14
10,228;1204198;0;16;3
10,229;1204202;0;108;1
10,230;1204239;0;0;1
10,231;1204294;1;2;3
10,232;1204343;0;7;2
10,233;1204346;1;0;1
10,234;1204355;0;99;4
10,235;1204358;0;0;2
10,236;1204372;0;193;5
10,237;1204377;0;2;2
10,238;1204382;1;1,624;5
10,239;1204392;1;0;1
10,240;1204399;0;4;1
10,241;1204414;0;18;2
10,242;1204420;0;76;6
10,243;1204437;1;0;1
10,244;1204440;0;1,637;8
10,245;1204442;0;2;2
10,246;1204449;0;158;5
10,247;1204451;0;1,103;12
10,248;1204465;0;20;8
10,249;1204471;0;151;8
10,250;1204472;0;25;2
10,251;1204474;0;8;3
10,252;1204487;0;476;2
10,253;1204499;0;32;2
10,254;1204507;0;27;3
10,255;1204519;0;12;3
10,256;1204521;0;4;2
10,257;1204522;0;6;5
10,258;1204525;0;24;2
10,259;1204533;0;4;5
10,260;1204535;1;13;1
10,261;1204544;0;51;4
10,262;1204545;0;2;2
10,263;1204548;0;4;2
10,264;1204571;0;280;3
10,265;1204584;0;12;5
10,266;1204592;0;0;1
10,267;1204593;0;0;1
10,268;1204604;0;255;11
10,269;1204611;0;14;2
10,270;1204630;0;2;3
10,271;1204636;0;24;4
10,272;1204637;0;1;2
10,273;1204652;0;10;4
10,274;1204661;0;25;3
10,275;1204662;0;8;2
10,276;1204664;0;3;3
10,277;1204666;0;14;2
10,278;1204670;0;41;4
10,279;1204687;0;32;5
10,280;1204690;0;73;6
10,281;1204691;1;3;1
10,282;1204692;0;3;3
10,283;1204695;0;49;7
10,284;1204696;1;8;3
10,285;1204697;0;23;8
10,286;1204700;0;13;2
10,287;1204704;0;416;24
10,288;1204708;0;10;2
10,289;1204711;0;2;3
10,290;1204713;1;2;1
10,291;1204714;0;196;13
10,292;1204715;1;13;2
10,293;1204716;0;69;3
10,294;1204720;0;171;6
10,295;1204723;0;7;6
10,296;1204724;0;18;2
10,297;1204726;0;104;7
10,298;1204728;0;904;7
10,299;1204731;0;13;2
10,300;1204733;0;10;2
10,301;1204734;0;13;2
10,302;1204735;0;31;10
10,303;1204738;0;521;6
10,304;1204739;0;8;6
10,305;1204742;0;219;1
10,306;1204743;0;5;2
10,307;1204744;0;3;1
10,308;1204745;0;18;2
10,309;1204750;0;36;3
10,310;1204757;0;9;3
10,311;1204762;0;3;2
10,312;1204763;1;12;1
10,313;1204765;0;28;3
10,314;1204770;0;51;10
10,315;1204772;0;0;2
10,316;1204775;0;20;4
10,317;1204776;0;69;1
10,318;1204778;0;27;2
10,319;1204783;0;8;2
10,320;1204785;0;8;1
10,321;1204797;1;12;3
10,322;1204799;0;241;3
10,323;1204803;1;1,501;1
10,324;1204804;0;0;1
10,325;1204805;0;148;2
10,326;1204806;0;2;3
10,327;1204807;0;9;1
10,328;1204808;0;2;1
10,329;1204809;0;24;1
10,330;1204811;0;543;10
10,331;1204816;0;3;2
10,332;1204820;0;2;1
10,333;1204829;0;212;4
10,334;1204833;0;6;2
10,335;1204865;0;22;3
10,336;1204890;0;68;7
10,337;1204917;0;26;3
10,338;1204938;1;177;8
10,339;1204940;0;241;1
10,340;1204955;0;11;1
10,341;1204977;0;10;1
10,342;1205004;0;6;1
10,343;1205019;1;99;1
10,344;1205029;0;0;1
