ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
5,001;1126562;0;0;2
5,002;1126573;0;0;2
5,003;1126574;0;40;3
5,004;1126577;0;6;2
5,005;1126619;0;427;2
5,006;1126628;1;9;1
5,007;1126630;1;154;1
5,008;1126632;0;171;10
5,009;1126636;0;43;3
5,010;1126639;0;308;25
5,011;1126646;0;4;1
5,012;1126648;0;7;3
5,013;1126657;0;18;2
5,014;1126659;0;123;1
5,015;1126661;0;2;3
5,016;1126662;0;13;1
5,017;1126667;0;6;1
5,018;1126678;0;971;7
5,019;1126680;0;0;1
5,020;1126696;0;47;9
5,021;1126713;0;2;1
5,022;1126722;0;259;2
5,023;1126725;0;349;15
5,024;1126726;0;19;1
5,025;1126729;0;6;1
5,026;1126731;0;0;1
5,027;1126736;0;10;1
5,028;1126742;0;0;1
5,029;1126746;0;15;1
5,030;1126751;0;42;2
5,031;1126752;0;643;6
5,032;1126753;0;6;3
5,033;1126754;0;191;1
5,034;1126758;0;42;2
5,035;1126762;0;217;8
5,036;1126766;1;0;1
5,037;1126767;0;4;2
5,038;1126769;0;13;3
5,039;1126774;0;1;4
5,040;1126775;0;97;1
5,041;1126783;0;15;1
5,042;1126792;0;333;8
5,043;1126793;0;203;8
5,044;1126797;0;113;6
5,045;1126799;0;5;1
5,046;1126801;0;88;2
5,047;1126808;0;0;1
5,048;1126809;0;199;2
5,049;1126828;0;207;4
5,050;1126840;0;903;2
5,051;1126850;0;845;1
5,052;1126851;1;0;1
5,053;1126852;0;17;6
5,054;1126853;1;0;1
5,055;1126856;1;0;1
5,056;1126867;0;2;2
5,057;1126879;0;14;1
5,058;1126886;1;852;3
5,059;1126899;0;163;5
5,060;1126903;0;17;1
5,061;1126906;1;0;1
5,062;1126923;0;851;1
5,063;1126925;0;38;7
5,064;1126926;0;25;5
5,065;1126928;0;209;1
5,066;1126938;1;0;2
5,067;1126939;0;0;1
5,068;1126940;1;0;2
5,069;1126965;0;2;1
5,070;1126966;1;0;1
5,071;1126967;1;0;1
5,072;1126988;1;0;1
5,073;1126989;0;838;1
5,074;1126990;0;374;8
5,075;1126992;0;0;1
5,076;1126998;1;0;1
5,077;1127000;1;0;1
5,078;1127140;0;0;1
5,079;1127148;0;26;1
