ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
15,228;487693;0;784;7
15,229;488007;0;2;1
15,230;488062;0;235;1
15,231;488117;0;337;1
15,232;488123;0;1,016;1
15,233;488127;0;396;1
15,234;488191;0;9;1
15,235;488193;0;847;1
15,236;488210;0;310;1
15,237;488215;0;448;2
15,238;488254;0;12;1
15,239;488266;0;0;1
15,240;488281;0;310;1
15,241;488285;0;331;2
15,242;488295;0;2;1
15,243;488296;0;26;1
15,244;488417;0;500;1
15,245;488448;0;57;1
15,246;488515;0;89;1
15,247;488547;0;166;1
15,248;488575;0;11;1
15,249;488600;0;8;1
15,250;488717;0;10;2
15,251;488759;0;9;1
15,252;488835;0;81;1
15,253;488916;0;425;1
15,254;489303;0;140;1
15,255;489403;0;2,010;2
15,256;489473;0;299;1
15,257;489514;0;222;1
15,258;489526;0;4;1
15,259;489556;0;5;1
15,260;489570;0;85;1
15,261;489726;0;339;1
15,262;489738;0;59;1
15,263;489771;0;1,404;1
15,264;489786;0;234;1
15,265;489790;0;18;1
15,266;489811;0;660;1
15,267;489817;0;770;1
15,268;489834;0;8;1
15,269;489843;0;13;1
15,270;489881;0;2;1
15,271;489887;0;1,125;1
15,272;489928;0;16;1
15,273;489934;0;8;1
15,274;489940;0;33;1
15,275;490003;0;151;1
15,276;490025;0;298;2
15,277;490070;0;406;1
15,278;490187;0;55;2
15,279;490192;0;3;1
15,280;490234;0;81;1
15,281;490258;0;35;1
15,282;490292;0;8;1
15,283;490360;0;22;2
15,284;490378;1;94;1
15,285;490397;0;126;1
15,286;490423;0;9;2
15,287;490453;0;10;1
15,288;490482;0;906;1
15,289;490539;0;219;1
15,290;490615;1;454;1
15,291;490623;1;279;1
15,292;490654;0;457;2
15,293;490658;0;906;2
15,294;490668;0;737;1
15,295;490696;0;58;1
15,296;490821;0;3,878;1
15,297;490940;0;34;1
15,298;490958;0;4;2
15,299;491063;0;18;1
15,300;491101;0;70;2
15,301;491147;0;17;1
15,302;491226;0;1,837;2
15,303;491284;0;138;3
15,304;491285;0;13;2
15,305;491309;0;123;1
15,306;491336;0;3;1
15,307;491337;0;710;2
15,308;491339;1;4;1
15,309;491341;0;2;2
15,310;491459;0;1,227;2
15,311;491627;0;0;1
15,312;491646;0;4;4
15,313;491647;0;9;2
15,314;491650;0;11;2
15,315;491656;0;28;1
15,316;491663;0;51;1
15,317;491674;0;834;1
15,318;491675;0;329;2
15,319;491720;0;71;2
15,320;491779;0;132;2
15,321;491868;0;221;1
15,322;491886;0;75;2
15,323;491895;0;7;2
15,324;491914;0;1;2
15,325;491917;0;2;2
15,326;491930;0;68;1
15,327;491946;0;41;2
15,328;491949;0;50;1
15,329;491984;0;26;3
15,330;491991;0;162;1
15,331;492061;0;89;1
15,332;492177;0;16;2
15,333;492200;0;111;2
15,334;492230;0;13;2
15,335;492261;0;88;3
15,336;492277;0;129;1
15,337;492301;0;168;1
15,338;492334;0;435;1
15,339;492366;0;186;1
15,340;492387;0;59;1
15,341;492416;0;29;2
15,342;492484;0;614;2
15,343;492487;0;42;1
15,344;492538;0;144;1
15,345;492573;0;785;1
15,346;492603;0;357;2
15,347;492606;0;10;2
15,348;492623;0;179;1
15,349;492629;0;140;1
15,350;492669;0;274;1
15,351;492707;0;54;1
15,352;492712;0;10;1
15,353;492783;0;370;4
15,354;492821;0;415;2
15,355;492867;0;262;1
15,356;492883;1;647;4
15,357;492898;0;40;2
15,358;492964;0;62;3
15,359;493002;0;543;1
15,360;493028;0;23;3
15,361;493040;0;26;2
15,362;493085;0;12;2
15,363;493171;0;48;2
15,364;493179;1;21;1
15,365;493211;0;1,748;1
15,366;493242;0;112;1
15,367;493259;1;20;1
15,368;493263;0;4;2
15,369;493307;0;195;6
15,370;493352;0;1,249;1
15,371;493377;1;7;1
15,372;493378;0;7;1
15,373;493387;0;25;1
15,374;493415;0;2,823;1
15,375;493432;0;0;1
15,376;493472;0;449;1
15,377;493674;0;17;1
15,378;493691;0;4;2
15,379;493700;0;34;1
15,380;493757;0;6;1
15,381;493763;0;73;2
15,382;493766;0;71;1
15,383;493774;0;22;1
15,384;493787;0;96;1
15,385;493800;0;564;1
15,386;493883;0;1,185;1
15,387;493907;0;47;1
15,388;493938;1;17;1
15,389;493953;0;12;2
15,390;493959;0;87;1
15,391;493995;0;168;2
15,392;494028;0;33;1
15,393;494072;0;116;2
15,394;494112;0;52;2
15,395;494118;0;225;1
15,396;494192;0;604;1
15,397;494220;0;5,461;2
15,398;494228;0;24;2
15,399;494249;0;8;3
15,400;494254;0;4,932;2
15,401;494291;0;100;3
15,402;494300;0;8;1
15,403;494310;0;144;1
15,404;494317;0;16;2
15,405;494341;0;37;2
15,406;494351;1;339;1
15,407;494361;0;1,531;1
15,408;494362;0;3;1
15,409;494367;0;40;1
15,410;494398;0;2;1
15,411;494405;1;18;1
15,412;494417;0;6;2
15,413;494425;0;91;1
15,414;494430;0;18;2
15,415;494445;0;197;1
15,416;494448;0;2;1
15,417;494459;0;17;2
15,418;494461;0;60;1
15,419;494465;0;2;1
15,420;494486;0;1,580;2
15,421;494490;0;111;1
15,422;494538;0;61;1
15,423;494549;0;69;1
15,424;494553;0;3;2
15,425;494648;0;58;2
15,426;494700;0;899;1
