subBranch,Date,category,mergeSum,finalMerge
workstream_modeling,Jun 19, 2015,t,0,0
vertical/allocation,Jun 22, 2015,t,0,0
workstream_kpicharts,Jun 22, 2015,t,0,0
workstream_lumira,Jun 22, 2015,t,0,0
workstream_dmem,Jun 23, 2015,t,0,0
workstream_lumira,Jun 23, 2015,t,0,0
workstream_apdkpi,Jun 24, 2015,t,78,0
workstream_dmem,Jun 24, 2015,t,0,0
workstream_infrastructure,Jun 24, 2015,t,0,0
workstream_modeling,Jun 24, 2015,t,61,0
workstream_apdkpi,Jun 25, 2015,t,0,0
workstream_collaboration,Jun 25, 2015,t,15,0
workstream_dmem,Jun 25, 2015,t,0,0
workstream_infrastructure,Jun 25, 2015,t,0,0
workstream_kpicharts,Jun 25, 2015,t,0,0
workstream_modeling,Jun 25, 2015,t,0,0
vertical/allocation,Jun 26, 2015,t,67,0
workstream_apdkpi,Jun 26, 2015,t,14,0
workstream_infrastructure,Jun 26, 2015,t,0,0
workstream_lumira,Jun 26, 2015,t,0,0
workstream_dmem,Jun 27, 2015,t,2,2
workstream_dmem,Jun 28, 2015,t,0,0
workstream_infrastructure,Jun 28, 2015,t,0,0
vertical/allocation,Jun 29, 2015,t,0,0
workstream_dmem,Jun 29, 2015,t,0,0
workstream_infrastructure,Jun 29, 2015,t,0,0
workstream_lumira,Jun 29, 2015,t,0,0
vertical/allocation,Jun 30, 2015,t,0,0
workstream_apdkpi,Jun 30, 2015,t,17,9
workstream_infrastructure,Jun 30, 2015,t,0,0
workstream_lumira,Jun 30, 2015,t,0,0
workstream_modeling,Jun 30, 2015,t,0,0
vertical/allocation,Jul 1, 2015,t,0,0
workstream_apdkpi,Jul 1, 2015,t,32,32
workstream_infrastructure,Jul 1, 2015,t,0,0
workstream_infrastructure,Jul 2, 2015,t,0,0
workstream_kpicharts,Jul 2, 2015,t,2,282,0
workstream_lumira,Jul 2, 2015,t,0,0
workstream_modeling,Jul 2, 2015,t,0,0
workstream_apdkpi,Jul 3, 2015,t,96,0
workstream_lumira,Jul 3, 2015,t,0,0
workstream_modeling,Jul 3, 2015,t,0,0
workstream_infrastructure,Jul 4, 2015,t,0,0
workstream_infrastructure,Jul 5, 2015,t,0,0
vertical/allocation,Jul 6, 2015,t,72,14
workstream_infrastructure,Jul 6, 2015,t,0,0
workstream_kpicharts,Jul 6, 2015,t,0,0
workstream_lumira,Jul 6, 2015,t,0,0
vertical/allocation,Jul 7, 2015,t,0,0
workstream_apdkpi,Jul 7, 2015,t,23,0
workstream_dmem,Jul 7, 2015,t,607,847,0
workstream_infrastructure,Jul 7, 2015,t,3453,1674
workstream_lumira,Jul 7, 2015,t,0,0
workstream_modeling,Jul 7, 2015,t,0,0
vertical/allocation,Jul 8, 2015,t,0,0
workstream_apdkpi,Jul 8, 2015,t,0,0
workstream_infrastructure,Jul 8, 2015,t,0,0
workstream_kpicharts,Jul 8, 2015,t,0,0
workstream_lumira,Jul 8, 2015,t,0,0
workstream_modeling,Jul 8, 2015,t,0,0
workstream_dmem,Jul 9, 2015,t,0,0
workstream_infrastructure,Jul 9, 2015,t,0,0
workstream_lumira,Jul 9, 2015,t,0,0
workstream_modeling,Jul 9, 2015,t,0,0
workstream_apdkpi,Jul 10, 2015,t,0,0
workstream_infrastructure,Jul 10, 2015,t,0,0
workstream_kpicharts,Jul 10, 2015,t,0,0
workstream_lumira,Jul 10, 2015,t,0,0
workstream_apdkpi,Jul 12, 2015,t,0,0
workstream_modeling,Jul 12, 2015,t,0,0
vertical/allocation,Jul 13, 2015,t,243,0
workstream_apdkpi,Jul 13, 2015,t,10,10
