subBranch;commitId;category;days;mergeSize;date;rate
vertical/allocation;1091142;t;1;86;Jul 28, 2015;86
projectStructureChange;527574;b;1;86;Jun 23, 2014;86
beta;614672;b;1;86;Sep 4, 2014;86
workstream_collaboration;1251458;t;1;86;Oct 21, 2015;86
projectStructureChange;528271;b;1;86;Jun 23, 2014;86
workstream_collaboration;1200618;t;1;86;Sep 24, 2015;86
collaboration;560862;b;1;86;Jul 22, 2014;86
vertical/allocation;1123413;t;1;86;Aug 13, 2015;86
workstream_ux;1075729;t;1;86;Jul 21, 2015;86
workstream_lumira_11;1203256;t;1;86;Sep 25, 2015;86
vertical/allocation;1160765;t;1;86;Sep 3, 2015;86
vertical/devinfra;1015593;t;1;86;Jul 3, 2015;86
workstream_ux;1036808;t;1;86;Jul 16, 2015;86
workstream_lumira_11;1197764;t;2;86;Sep 23, 2015;43
poc/boardroom_redefined;1017498;t;1;86;Jul 6, 2015;86
integration;489570;b;1;85;May 19, 2014;85
poc/boardroom_svb;1242695;t;1;85;Oct 16, 2015;85
poc/rptfcst;990494;t;1;85;Jun 18, 2015;85
vertical/allocation;1268429;t;1;85;Oct 30, 2015;85
integration;503932;b;1;85;May 30, 2014;85
poc/boardroom_redefined;1011995;t;1;85;Jul 2, 2015;85
vertical/licensing;1253790;t;1;85;Oct 22, 2015;85
collaboration;562016;b;1;85;Jul 22, 2014;85
vertical/allocation;1223397;t;1;85;Oct 7, 2015;85
poc/wrangling;1163902;t;1;85;Sep 4, 2015;85
vertical/licensing;1261229;t;2;85;Oct 27, 2015;42.5
poc/boardroom_svb;1238723;t;1;85;Oct 14, 2015;85
poc/google-drive;1175680;t;1;84;Sep 10, 2015;84
poc/boardroom_svb;1239824;t;1;84;Oct 15, 2015;84
vertical/allocation;971538;t;1;84;Jun 8, 2015;84
integration;495752;b;1;84;May 22, 2014;84
vertical/allocation;1020354;t;1;84;Jul 7, 2015;84
poc/data_acquisition;979757;t;1;84;Jun 12, 2015;84
workstream_apd;709626;b;1;84;Nov 24, 2014;84
workstream_collaboration;747668;b;1;84;Dec 21, 2014;84
workstream_lumira_11;1181354;t;1;84;Sep 14, 2015;84
vertical/allocation;1270795;t;1;84;Nov 2, 2015;84
workstream_ux;784181;b;1;84;Jan 26, 2015;84
vertical/boardroom;1218322;t;1;84;Oct 5, 2015;84
vertical/allocation;964342;t;1;84;Jun 2, 2015;84
poc/boardroom_svb;1218515;t;1;84;Oct 5, 2015;84
poc/wrangling;1127781;t;1;84;Aug 17, 2015;84
vertical/allocation;917567;b;1;83;Apr 28, 2015;83
vertical/allocation;1091052;t;2;83;Jul 28, 2015;41.5
vertical/boardroom;1192551;t;1;83;Sep 21, 2015;83
workstream_collaboration;1187101;t;1;83;Sep 17, 2015;83
workstream_qa;748616;b;1;83;Dec 22, 2014;83
workstream_collaboration;1127727;t;1;83;Aug 17, 2015;83
poc/geospatial;994937;t;1;83;Jun 22, 2015;83
poc/demo_quentin;996818;t;1;83;Jun 23, 2015;83
vertical/allocation;1260979;t;1;83;Oct 27, 2015;83
poc/demo_quentin;996821;t;1;83;Jun 23, 2015;83
workstream_ux;871151;b;1;83;Mar 27, 2015;83
workstream_collaboration;1227090;t;1;82;Oct 8, 2015;82
vertical/boardroom;1215536;t;1;82;Oct 1, 2015;82
workstream_qa;751386;b;1;82;Dec 27, 2014;82
vertical/allocation;1022587;t;1;82;Jul 8, 2015;82
workstream_lumira_11;1203619;t;1;82;Sep 25, 2015;82
poc/boardroom_redefined;1024758;t;1;82;Jul 9, 2015;82
workstream_lumira_blending;870083;b;1;82;Mar 26, 2015;82
poc/boardroom_redefined;1021081;t;1;82;Jul 7, 2015;82
projectStructureChange;528417;b;1;82;Jun 23, 2014;82
vertical/boardroom;1166729;t;1;81;Sep 7, 2015;81
vertical/allocation;1190121;t;1;81;Sep 18, 2015;81
projectStructureChange;527583;b;1;81;Jun 23, 2014;81
vertical/allocation;1118329;t;2;81;Aug 11, 2015;40.5
vertical/allocation;977636;t;1;81;Jun 11, 2015;81
poc/boardroom_redefined;1014136;t;1;81;Jul 3, 2015;81
vertical/allocation;1032648;t;1;81;Jul 15, 2015;81
